uid HMR VR rep update efficiency
HMR0.1_12 HMR0.1 VR0.1 12 3200 0.996827
HMR0.1_12 HMR0.1 VR0.1 12 3300 0.996841
HMR0.1_12 HMR0.1 VR0.1 12 3400 0.996889
HMR0.1_12 HMR0.1 VR0.1 12 3500 0.996785
HMR0.1_12 HMR0.1 VR0.1 12 3600 0.996769
HMR0.1_12 HMR0.1 VR0.1 12 3700 0.996724
HMR0.1_12 HMR0.1 VR0.1 12 3800 0.996718
HMR0.1_12 HMR0.1 VR0.1 12 3900 0.996775
HMR0.1_12 HMR0.1 VR0.1 12 4000 0.996563
HMR0.1_12 HMR0.1 VR0.1 12 4100 0.996452
HMR0.1_12 HMR0.1 VR0.1 12 4200 0.996397
HMR0.1_12 HMR0.1 VR0.1 12 4300 0.996386
HMR0.1_12 HMR0.1 VR0.1 12 4400 0.996438
HMR0.1_12 HMR0.1 VR0.1 12 4500 0.99638
HMR0.1_12 HMR0.1 VR0.1 12 4600 0.996344
HMR0.1_12 HMR0.1 VR0.1 12 4700 0.996401
HMR0.1_12 HMR0.1 VR0.1 12 4800 0.996375
HMR0.1_12 HMR0.1 VR0.1 12 4900 0.996364
HMR0.1_12 HMR0.1 VR0.1 12 5000 0.996419
HMR0.1_12 HMR0.1 VR0.1 12 5100 0.9964
HMR0.1_12 HMR0.1 VR0.1 12 5200 0.99634
HMR0.1_12 HMR0.1 VR0.1 12 5300 0.996258
HMR0.1_12 HMR0.1 VR0.1 12 5400 0.996134
HMR0.1_12 HMR0.1 VR0.1 12 5500 0.996144
HMR0.1_12 HMR0.1 VR0.1 12 5600 0.996041
HMR0.1_12 HMR0.1 VR0.1 12 5700 0.995984
HMR0.1_12 HMR0.1 VR0.1 12 5800 0.995971
HMR0.1_12 HMR0.1 VR0.1 12 5900 0.995842
HMR0.1_12 HMR0.1 VR0.1 12 6000 0.995849
HMR0.1_12 HMR0.1 VR0.1 12 6100 0.995821
HMR0.1_12 HMR0.1 VR0.1 12 6200 0.9956
HMR0.1_12 HMR0.1 VR0.1 12 6300 0.99556
HMR0.1_12 HMR0.1 VR0.1 12 6400 0.995595
HMR0.1_12 HMR0.1 VR0.1 12 6500 0.99559
HMR0.1_12 HMR0.1 VR0.1 12 6600 0.995652
HMR0.1_12 HMR0.1 VR0.1 12 6700 0.995515
HMR0.1_12 HMR0.1 VR0.1 12 6800 0.995446
HMR0.1_12 HMR0.1 VR0.1 12 6900 0.995393
HMR0.1_12 HMR0.1 VR0.1 12 7000 0.995247
HMR0.1_12 HMR0.1 VR0.1 12 7100 0.995208
HMR0.1_12 HMR0.1 VR0.1 12 7200 0.995122
HMR0.1_12 HMR0.1 VR0.1 12 7300 0.995056
HMR0.1_12 HMR0.1 VR0.1 12 7400 0.994975
HMR0.1_12 HMR0.1 VR0.1 12 7500 0.994942
HMR0.1_12 HMR0.1 VR0.1 12 7600 0.99488
HMR0.1_12 HMR0.1 VR0.1 12 7700 0.994828
HMR0.1_12 HMR0.1 VR0.1 12 7800 0.994841
HMR0.1_12 HMR0.1 VR0.1 12 7900 0.994886
HMR0.1_12 HMR0.1 VR0.1 12 8000 0.994958
HMR0.1_12 HMR0.1 VR0.1 12 8100 0.99493
HMR0.1_12 HMR0.1 VR0.1 12 8200 0.99484
HMR0.1_12 HMR0.1 VR0.1 12 8300 0.994773
HMR0.1_12 HMR0.1 VR0.1 12 8400 0.994845
HMR0.1_12 HMR0.1 VR0.1 12 8500 0.995009
HMR0.1_12 HMR0.1 VR0.1 12 8600 0.995078
HMR0.1_12 HMR0.1 VR0.1 12 8700 0.995018
HMR0.1_12 HMR0.1 VR0.1 12 8800 0.995097
HMR0.1_12 HMR0.1 VR0.1 12 8900 0.995138
