uid HMR VR rep update donate partner
HMR0.1_11 HMR0.1 VR0.1 11 1500 -0.394928 Host
HMR0.1_11 HMR0.1 VR0.1 11 1600 -0.395745 Host
HMR0.1_11 HMR0.1 VR0.1 11 1700 -0.397506 Host
HMR0.1_11 HMR0.1 VR0.1 11 1800 -0.399567 Host
HMR0.1_11 HMR0.1 VR0.1 11 1900 -0.40209 Host
HMR0.1_11 HMR0.1 VR0.1 11 2000 -0.402404 Host
HMR0.1_11 HMR0.1 VR0.1 11 2100 -0.40366 Host
HMR0.1_11 HMR0.1 VR0.1 11 2200 -0.404111 Host
HMR0.1_11 HMR0.1 VR0.1 11 2300 -0.405481 Host
HMR0.1_11 HMR0.1 VR0.1 11 2400 -0.405938 Host
HMR0.1_11 HMR0.1 VR0.1 11 2500 -0.407147 Host
HMR0.1_11 HMR0.1 VR0.1 11 2600 -0.40795 Host
HMR0.1_11 HMR0.1 VR0.1 11 2700 -0.408226 Host
HMR0.1_11 HMR0.1 VR0.1 11 2800 -0.407827 Host
HMR0.1_11 HMR0.1 VR0.1 11 2900 -0.408033 Host
HMR0.1_11 HMR0.1 VR0.1 11 3000 -0.407371 Host
HMR0.1_11 HMR0.1 VR0.1 11 3100 -0.409037 Host
HMR0.1_11 HMR0.1 VR0.1 11 3200 -0.41085 Host
HMR0.1_11 HMR0.1 VR0.1 11 3300 -0.410326 Host
HMR0.1_11 HMR0.1 VR0.1 11 3400 -0.410246 Host
HMR0.1_11 HMR0.1 VR0.1 11 3500 -0.411914 Host
HMR0.1_11 HMR0.1 VR0.1 11 3600 -0.413056 Host
HMR0.1_11 HMR0.1 VR0.1 11 3700 -0.413569 Host
HMR0.1_11 HMR0.1 VR0.1 11 3800 -0.414554 Host
HMR0.1_11 HMR0.1 VR0.1 11 3900 -0.41586 Host
HMR0.1_11 HMR0.1 VR0.1 11 4000 -0.415412 Host
HMR0.1_11 HMR0.1 VR0.1 11 4100 -0.415828 Host
HMR0.1_11 HMR0.1 VR0.1 11 4200 -0.417064 Host
HMR0.1_11 HMR0.1 VR0.1 11 4300 -0.417969 Host
HMR0.1_11 HMR0.1 VR0.1 11 4400 -0.417946 Host
HMR0.1_11 HMR0.1 VR0.1 11 4500 -0.418906 Host
HMR0.1_11 HMR0.1 VR0.1 11 4600 -0.417561 Host
HMR0.1_11 HMR0.1 VR0.1 11 4700 -0.418127 Host
HMR0.1_11 HMR0.1 VR0.1 11 4800 -0.419358 Host
HMR0.1_11 HMR0.1 VR0.1 11 4900 -0.418056 Host
HMR0.1_11 HMR0.1 VR0.1 11 5000 -0.417762 Host
HMR0.1_11 HMR0.1 VR0.1 11 5100 -0.417978 Host
HMR0.1_11 HMR0.1 VR0.1 11 5200 -0.418403 Host
HMR0.1_11 HMR0.1 VR0.1 11 5300 -0.418503 Host
HMR0.1_11 HMR0.1 VR0.1 11 5400 -0.41822 Host
HMR0.1_11 HMR0.1 VR0.1 11 5500 -0.418734 Host
HMR0.1_11 HMR0.1 VR0.1 11 5600 -0.419531 Host
HMR0.1_11 HMR0.1 VR0.1 11 5700 -0.419383 Host
HMR0.1_11 HMR0.1 VR0.1 11 5800 -0.418899 Host
HMR0.1_11 HMR0.1 VR0.1 11 5900 -0.419466 Host
HMR0.1_11 HMR0.1 VR0.1 11 6000 -0.419751 Host
HMR0.1_11 HMR0.1 VR0.1 11 6100 -0.420446 Host
HMR0.1_11 HMR0.1 VR0.1 11 6200 -0.420015 Host
HMR0.1_11 HMR0.1 VR0.1 11 6300 -0.420114 Host
HMR0.1_11 HMR0.1 VR0.1 11 6400 -0.419411 Host
HMR0.1_11 HMR0.1 VR0.1 11 6500 -0.419548 Host
HMR0.1_11 HMR0.1 VR0.1 11 6600 -0.420266 Host
HMR0.1_11 HMR0.1 VR0.1 11 6700 -0.420118 Host
HMR0.1_11 HMR0.1 VR0.1 11 6800 -0.42058 Host
HMR0.1_11 HMR0.1 VR0.1 11 6900 -0.420674 Host
HMR0.1_11 HMR0.1 VR0.1 11 7000 -0.42051 Host
HMR0.1_11 HMR0.1 VR0.1 11 7100 -0.420854 Host
HMR0.1_11 HMR0.1 VR0.1 11 7200 -0.421011 Host
HMR0.1_11 HMR0.1 VR0.1 11 7300 -0.421147 Host
HMR0.1_11 HMR0.1 VR0.1 11 7400 -0.421413 Host
HMR0.1_11 HMR0.1 VR0.1 11 7500 -0.42088 Host
HMR0.1_11 HMR0.1 VR0.1 11 7600 -0.420755 Host
HMR0.1_11 HMR0.1 VR0.1 11 7700 -0.420293 Host
HMR0.1_11 HMR0.1 VR0.1 11 7800 -0.420565 Host
HMR0.1_11 HMR0.1 VR0.1 11 7900 -0.420573 Host
HMR0.1_11 HMR0.1 VR0.1 11 8000 -0.421123 Host
HMR0.1_11 HMR0.1 VR0.1 11 8100 -0.421365 Host
HMR0.1_11 HMR0.1 VR0.1 11 8200 -0.421441 Host
HMR0.1_11 HMR0.1 VR0.1 11 8300 -0.420992 Host
HMR0.1_11 HMR0.1 VR0.1 11 8400 -0.42075 Host
HMR0.1_11 HMR0.1 VR0.1 11 8500 -0.42066 Host
HMR0.1_11 HMR0.1 VR0.1 11 8600 -0.41975 Host
HMR0.1_11 HMR0.1 VR0.1 11 8700 -0.421083 Host
HMR0.1_11 HMR0.1 VR0.1 11 8800 -0.420482 Host
HMR0.1_11 HMR0.1 VR0.1 11 8900 -0.420947 Host
HMR0.1_11 HMR0.1 VR0.1 11 9000 -0.42117 Host
HMR0.1_11 HMR0.1 VR0.1 11 9100 -0.421499 Host
HMR0.1_11 HMR0.1 VR0.1 11 9200 -0.422181 Host
HMR0.1_11 HMR0.1 VR0.1 11 9300 -0.421898 Host
HMR0.1_11 HMR0.1 VR0.1 11 9400 -0.42263 Host
HMR0.1_11 HMR0.1 VR0.1 11 9500 -0.422169 Host
HMR0.1_11 HMR0.1 VR0.1 11 9600 -0.421886 Host
HMR0.1_11 HMR0.1 VR0.1 11 9700 -0.4216 Host
HMR0.1_11 HMR0.1 VR0.1 11 9800 -0.422471 Host
HMR0.1_11 HMR0.1 VR0.1 11 9900 -0.422048 Host
HMR0.1_11 HMR0.1 VR0.1 11 10000 -0.42131 Host
HMR0.1_11 HMR0.1 VR0.1 11 0 -0.0119029 Sym
HMR0.1_11 HMR0.1 VR0.1 11 100 -0.665257 Sym
HMR0.1_11 HMR0.1 VR0.1 11 200 -0.814499 Sym
HMR0.1_11 HMR0.1 VR0.1 11 300 -0.873477 Sym
HMR0.1_11 HMR0.1 VR0.1 11 400 -0.909774 Sym
HMR0.1_11 HMR0.1 VR0.1 11 500 -0.933212 Sym
HMR0.1_11 HMR0.1 VR0.1 11 600 -0.946813 Sym
HMR0.1_11 HMR0.1 VR0.1 11 700 -0.956392 Sym
HMR0.1_11 HMR0.1 VR0.1 11 800 -0.963827 Sym
HMR0.1_11 HMR0.1 VR0.1 11 900 -0.96979 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1000 -0.974118 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1100 -0.977804 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1200 -0.98027 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1300 -0.981746 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1400 -0.984084 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1500 -0.985353 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1600 -0.986323 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1700 -0.986954 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1800 -0.987473 Sym
HMR0.1_11 HMR0.1 VR0.1 11 1900 -0.988724 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2000 -0.989015 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2100 -0.988949 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2200 -0.989859 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2300 -0.990225 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2400 -0.99054 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2500 -0.990564 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2600 -0.991104 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2700 -0.991559 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2800 -0.991057 Sym
HMR0.1_11 HMR0.1 VR0.1 11 2900 -0.991047 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3000 -0.991131 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3100 -0.991182 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3200 -0.991665 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3300 -0.991529 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3400 -0.991997 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3500 -0.992358 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3600 -0.992528 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3700 -0.992481 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3800 -0.992552 Sym
HMR0.1_11 HMR0.1 VR0.1 11 3900 -0.992825 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4000 -0.993003 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4100 -0.992872 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4200 -0.993045 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4300 -0.992667 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4400 -0.992902 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4500 -0.992632 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4600 -0.992885 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4700 -0.993285 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4800 -0.993285 Sym
HMR0.1_11 HMR0.1 VR0.1 11 4900 -0.993259 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5000 -0.993176 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5100 -0.993293 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5200 -0.993223 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5300 -0.993405 Sym
